OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31680,2024-062G,2026-03-14T20:43:12.379872,15.30200688,.00009572,53.1591,234.4629,68.9432,291.1671,0,U,59380,999,11038,.28699722E-4,.491E-5,0
STARLINK-31713,2024-062H,2026-03-14T17:16:52.218048,15.30195962,.00010503,53.1597,234.9949,79.5744,280.5375,0,U,59381,999,11036,.17850262E-4,.17E-5,0
STARLINK-31705,2024-062J,2026-03-14T20:55:57.844992,15.30194108,.00013073,53.1588,231.6771,91.7886,268.3264,0,U,59382,999,11042,.5431275E-5,-.198E-5,0
STARLINK-31715,2024-062L,2026-03-14T17:23:32.530848,15.30197348,.00010977,53.1598,232.1811,85.1185,274.9941,0,U,59384,999,11044,.22416146E-4,.305E-5,0
STARLINK-31717,2024-062M,2026-03-14T19:35:34.854432,15.30200696,.00012772,53.1596,232.0383,96.9611,263.1535,0,U,59385,999,11044,-.19247685E-4,-.929E-5,0
STARLINK-31688,2024-062N,2026-03-14T20:20:24.948672,15.30195718,.00012374,53.1601,234.3665,82.1123,278.0018,0,U,59386,999,11038,.30532854E-4,.545E-5,0
STARLINK-31714,2024-062P,2026-03-14T19:40:08.641344,15.30196585,.00013111,53.1583,232.0576,100.2236,259.8913,0,U,59387,999,11040,.21551711E-4,.279E-5,0
STARLINK-31643,2024-062Q,2026-03-14T19:31:01.242048,15.30199990,.00010018,53.1600,232.0169,116.8250,243.2853,0,U,59388,999,11045,-.23883916E-4,-.1066E-4,0
STARLINK-31647,2024-062R,2026-03-14T16:39:39.101184,15.30185700,.00010447,53.1596,232.7323,102.5428,257.5690,0,U,59389,999,11043,-.8452004E-5,-.609E-5,0
STARLINK-31649,2024-062S,2026-03-14T20:49:52.772160,15.30198696,.00010935,53.1593,231.6499,81.4321,278.6804,0,U,59390,999,11046,.74647737E-4,.1852E-4,0
STARLINK-31644,2024-062T,2026-03-14T17:07:44.937984,15.30193785,.00009767,53.1595,234.9526,94.5136,265.5976,0,U,59391,999,11040,.5430642E-4,.1249E-4,0
STARLINK-31626,2024-062U,2026-03-14T17:18:58.953024,15.30196547,.00010584,53.1600,232.1606,90.9128,269.1994,0,U,59392,999,11044,.18395762E-4,.186E-5,0
STARLINK-31443,2024-062V,2026-03-14T18:25:00.338592,15.30201098,.00011158,53.1593,219.4805,92.3948,267.7181,0,U,59393,999,11062,.24676334E-4,.372E-5,0
STARLINK-31607,2024-062W,2026-03-14T20:36:11.973024,15.30201242,.00010746,53.1600,231.5897,86.4911,273.6212,0,U,59394,999,11045,.69422857E-4,.1698E-4,0
YAOGAN-42 01,2024-063A,2026-03-14T23:07:35.998176,15.22817136,.00035673,34.9990,358.4178,211.5968,148.4533,0,U,59395,999,10847,.63257777E-3,.15152E-3,0
STARLINK-31608,2024-062X,2026-03-14T19:44:43.033056,15.30183183,.00011873,53.1594,232.0765,97.7499,262.3636,0,U,59397,999,11040,-.24612966E-4,-.1088E-4,0
STARLINK-31534,2024-064A,2026-03-13T21:32:25.427328,15.27578381,.00010924,43.0014,32.0370,255.8104,104.2626,0,U,59398,999,10981,.18289639E-4,.241E-5,0
STARLINK-31544,2024-064B,2026-03-14T22:18:46.752192,15.27593462,.00011743,43.0048,26.8846,237.8000,122.2738,0,U,59399,999,11002,-.43195424E-4,-.1451E-4,0
STARLINK-31545,2024-064C,2026-03-14T21:21:25.571520,15.27576987,.00014774,43.0033,26.5852,272.7248,87.3434,0,U,59400,999,11002,.50703428E-4,.1133E-4,0
STARLINK-31507,2024-064D,2026-03-14T21:30:40.275072,15.27586512,.00010599,43.0018,26.6283,265.2475,94.8256,0,U,59401,999,10996,.17726782E-4,.226E-5,0
STARLINK-31543,2024-064E,2026-03-14T22:07:40.189152,15.27609324,.00018655,43.0081,26.8321,295.7980,64.2680,0,U,59402,999,11002,-.13962852E-3,-.4106E-4,0
STARLINK-31366,2024-064F,2026-03-14T21:47:19.489344,15.27578289,.00006341,42.9986,26.7182,271.2858,88.7921,0,U,59403,999,11002,.66789028E-4,.1576E-4,0
STARLINK-31374,2024-064G,2026-03-14T18:09:18.597600,15.27599237,.00007253,43.0026,336.4994,254.3174,105.7598,0,U,59404,999,11033,.10797031E-3,.2712E-4,0
STARLINK-31400,2024-064H,2026-03-14T21:10:19.144992,15.27583214,.0001046,43.0017,26.5293,274.2748,85.7984,0,U,59405,999,11002,.22831644E-4,.366E-5,0
STARLINK-31391,2024-064J,2026-03-14T21:15:52.139232,15.27582222,.00004531,42.9989,26.5552,314.8298,45.2517,0,U,59406,999,11002,.49079691E-4,.1089E-4,0
STARLINK-31387,2024-064K,2026-03-13T06:59:18.280320,15.27623978,.00016415,43.0065,36.0866,255.9996,104.0674,0,U,59407,999,10977,-.3380113E-3,-.9564E-4,0
STARLINK-31396,2024-064M,2026-03-14T21:32:45.836736,15.27574961,.00028549,43.0087,16.2584,298.5817,61.4747,0,U,59409,999,11008,-.28687019E-4,-.1052E-4,0
STARLINK-31412,2024-064N,2026-03-14T21:41:46.603968,15.27574409,.00015768,43.0053,26.6871,273.0874,86.9797,0,U,59410,999,11002,.14546583E-4,.138E-5,0
STARLINK-31483,2024-064P,2026-03-14T21:58:25.362048,15.27597259,.00008943,43.0014,26.7744,241.1589,118.9173,0,U,59411,999,11002,-.39510193E-4,-.135E-4,0
STARLINK-31568,2024-064Q,2026-03-14T22:02:08.117664,15.27552013,.00007713,43.0036,26.7965,241.3786,118.6989,0,U,59412,999,11002,.23045796E-3,.608E-4,0
STARLINK-31615,2024-064R,2026-03-14T21:52:25.133664,15.27578029,.00009662,43.0035,19.8034,245.3238,114.7513,0,U,59413,999,11010,.4806461E-4,.1061E-4,0
STARLINK-31457,2024-064S,2026-03-14T20:21:57.544416,15.27580970,.00011674,43.0049,20.1832,273.9160,86.1559,0,U,59414,999,11009,.39737278E-4,.832E-5,0
STARLINK-31398,2024-064T,2026-03-14T21:36:11.741760,15.27592149,.00024821,43.0087,26.6556,260.9586,99.0985,0,U,59415,999,11002,.72703256E-4,.1739E-4,0
STARLINK-31399,2024-064U,2026-03-14T21:26:58.658208,15.27576567,.00012248,43.0046,26.6044,272.4149,87.6562,0,U,59416,999,11002,-.4038294E-5,-.373E-5,0
STARLINK-31401,2024-064V,2026-03-14T21:46:52.299264,15.27576405,.00014453,43.0065,19.7903,264.2227,95.8460,0,U,59417,999,10985,.15647559E-4,.168E-5,0
STARLINK-31414,2024-064W,2026-03-14T21:52:54.611616,15.27553920,.00016323,43.0061,26.7477,261.1188,98.9479,0,U,59418,999,11002,-.10027327E-3,-.3018E-4,0
STARLINK-31415,2024-064X,2026-03-14T22:29:52.823616,15.27585542,.00016123,43.0042,26.9415,274.9091,85.1577,0,U,59419,999,11002,-.1581242E-5,-.306E-5,0
STARLINK-31466,2024-064Y,2026-03-14T20:50:10.739040,15.27589317,.00013764,43.0042,27.2789,225.0983,134.9757,0,U,59420,999,11001,.10339021E-4,.22E-6,0
STARLINK-11087 [DTC],2024-065A,2026-03-14T06:56:24.031392,15.69706916,.00013124,53.1592,71.3479,58.2701,301.8445,0,U,59421,999,11223,.15837311E-4,.133E-4,0
STARLINK-11090 [DTC],2024-065B,2026-03-14T09:38:34.460736,15.69710689,.00014806,53.1583,70.6192,69.1691,290.9485,0,U,59422,999,11227,.13139917E-4,.1003E-4,0
STARLINK-11093 [DTC],2024-065C,2026-03-14T09:45:37.497600,15.69722591,.00014773,53.1589,70.6507,57.6801,302.4360,0,U,59423,999,11226,.539746E-5,.65E-6,0
STARLINK-11083 [DTC],2024-065D,2026-03-14T06:49:20.124480,15.69707497,.00011216,53.1583,71.3141,59.5521,300.5607,0,U,59424,999,11219,.1965977E-4,.1793E-4,0
STARLINK-11085 [DTC],2024-065E,2026-03-14T17:09:55.001952,15.69720639,.00010725,53.1571,69.0190,123.3042,236.8078,0,U,59425,999,11226,.2311559E-4,.2214E-4,0
